"","circuit_name","MR_year","MR_avg_lap_time","oldest_year","oldest_average_lap_time"
"1","70th Anniversary Grand Prix",2020,93384.4897560976,2020,93384.4897560976
"2","Abu Dhabi Grand Prix",2022,92204.7305282005,2009,103623.088780488
"3","Argentine Grand Prix",1998,92765.5034910784,1996,98446.6460573477
"4","Australian Grand Prix",2023,147648.931658291,1996,99021.0504926108
"5","Austrian Grand Prix",2023,73293.6289726534,1997,74986.2533333333
"6","Azerbaijan Grand Prix",2023,110502.562955255,2017,149324.75
"7","Bahrain Grand Prix",2023,100445.938388626,2004,95387.9232227488
"8","Belgian Grand Prix",2023,114249.220858896,1996,122689.933333333
"9","Brazilian Grand Prix",2022,83602.2858280255,1996,96868.4863883848
"10","British Grand Prix",2023,98705.3865979381,1996,93658.7251732102
"11","Canadian Grand Prix",2023,81506.5467680608,1996,85562.1097826087
"12","Chinese Grand Prix",2019,100897.120458891,2004,97479.7073412698
"13","Dutch Grand Prix",2022,80961.393961179,2021,77115.7891256429
"14","Eifel Grand Prix",2020,96281.7404129794,2020,96281.7404129794
"15","Emilia Romagna Grand Prix",2022,89187.0203359859,2020,84147.5718085106
"16","European Grand Prix",2016,111348.161478599,1996,85186.7285067873
"17","French Grand Prix",2022,102989.114375656,1996,82347.862925483
"18","German Grand Prix",2019,98449.8415559772,1996,111430.562682216
"19","Hungarian Grand Prix",2023,85491.8642172524,1996,84920.7914979757
"20","Indian Grand Prix",2013,92783.9950041632,2011,93231.4772344013
"21","Italian Grand Prix",2022,91257.9587203302,1996,90259.4162679426
"22","Japanese Grand Prix",2022,134424.154761905,1996,108713.015931373
"23","Korean Grand Prix",2013,113402.795652174,2010,198826.324521422
"24","Luxembourg Grand Prix",1998,85122.8225419664,1997,82777.5344827586
"25","Malaysian Grand Prix",2017,98476.3115234375,1999,105806.886768448
"26","Mexican Grand Prix",2019,83379.4518248175,2015,87335.4091990484
"27","Mexico City Grand Prix",2022,84882.7278664732,2021,85128.5567911041
"28","Miami Grand Prix",2023,93327.5386643234,2022,99879.3706161137
"29","Monaco Grand Prix",2023,85122.4256444151,1996,99796.0895140665
"30","Portuguese Grand Prix",2021,87315.5659163987,1996,88531.929906542
"31","Qatar Grand Prix",2021,90765.2715827338,2021,90765.2715827338
"32","Russian Grand Prix",2021,104673.47804878,2014,105796.800970874
"33","Sakhir Grand Prix",2020,63150.2593076421,2020,63150.2593076421
"34","San Marino Grand Prix",2006,90413.6692844677,1996,93190.6475095785
"35","Saudi Arabian Grand Prix",2023,98773.5053078556,2021,154924.338882283
"36","Singapore Grand Prix",2022,126268.826780021,2008,115775.101313321
"37","Spanish Grand Prix",2023,81103.9771341463,1996,113189.837248322
"38","Styrian Grand Prix",2021,71218.4521604938,2020,71366.455954323
"39","Ṣo Paulo Grand Prix",2021,79611.8191176471,2021,79611.8191176471
"40","Turkish Grand Prix",2021,95841.5571054926,2005,91744.7093596059
"41","Tuscan Grand Prix",2020,141405.245501285,2020,141405.245501285
"42","United States Grand Prix",2022,110456.722222222,2000,81014.9517684887
