"","circuit_name","MR_year","MR_fastest_lap_time","oldest_year","oldest_fastest_lap_time"
"1","70th Anniversary Grand Prix",2020,88451,2020,88451
"2","Abu Dhabi Grand Prix",2022,88391,2009,100279
"3","Argentine Grand Prix",1998,88179,1996,89413
"4","Australian Grand Prix",2023,80235,1996,93421
"5","Austrian Grand Prix",2023,67012,1997,71814
"6","Azerbaijan Grand Prix",2023,103370,2017,103441
"7","Bahrain Grand Prix",2023,93996,2004,90252
"8","Belgian Grand Prix",2023,107305,1996,113067
"9","Brazilian Grand Prix",2022,73785,1996,81547
"10","British Grand Prix",2023,90275,1996,89288
"11","Canadian Grand Prix",2023,74481,1996,81916
"12","Chinese Grand Prix",2019,94742,2004,92238
"13","Dutch Grand Prix",2022,73652,2021,71097
"14","Eifel Grand Prix",2020,88139,2020,88139
"15","Emilia Romagna Grand Prix",2022,78446,2020,75484
"16","European Grand Prix",2016,106485,1996,81363
"17","French Grand Prix",2022,95781,1996,78610
"18","German Grand Prix",2019,76645,1996,106504
"19","Hungarian Grand Prix",2023,80504,1996,80093
"20","Indian Grand Prix",2013,87679,2011,87249
"21","Italian Grand Prix",2022,84030,1996,86110
"22","Japanese Grand Prix",2022,104411,1996,104043
"23","Korean Grand Prix",2013,101380,2010,110257
"24","Luxembourg Grand Prix",1998,80450,1997,78805
"25","Malaysian Grand Prix",2017,94080,1999,100267
"26","Mexican Grand Prix",2019,79232,2015,80521
"27","Mexico City Grand Prix",2022,80153,2021,77774
"28","Miami Grand Prix",2023,89708,2022,91361
"29","Monaco Grand Prix",2023,75650,1996,85205
"30","Portuguese Grand Prix",2021,79849,1996,82873
"31","Qatar Grand Prix",2021,83196,2021,83196
"32","Russian Grand Prix",2021,97423,2014,100896
"33","Sakhir Grand Prix",2020,55404,2020,55404
"34","San Marino Grand Prix",2006,84569,1996,88931
"35","Saudi Arabian Grand Prix",2023,91906,2021,90734
"36","Singapore Grand Prix",2022,106458,2008,105599
"37","Spanish Grand Prix",2023,76330,1996,105517
"38","Styrian Grand Prix",2021,67058,2020,65619
"39","Ṣo Paulo Grand Prix",2021,71010,2021,71010
"40","Turkish Grand Prix",2021,90432,2005,84770
"41","Tuscan Grand Prix",2020,78833,2020,78833
"42","United States Grand Prix",2022,98788,2000,74711
