"","circuit_name","MR_year","MR_avg_pit_stop_duration_ms","MR_fastest_pit_stop_duration","oldest_year","oldest_avg_pit_stop_duration_ms","oldest_fastest_pit_stop_duration_ms"
"1","70th Anniversary Grand Prix",2020,28733.7804878049,27693,2020,28733.7804878049,27693
"2","Abu Dhabi Grand Prix",2022,22443.0322580645,21270,2011,21072.5952380952,12897
"3","Australian Grand Prix",2023,817726.384615385,17657,2011,24342.8222222222,16867
"4","Austrian Grand Prix",2023,21705.3333333333,16246,2014,23430.0975609756,21133
"5","Azerbaijan Grand Prix",2023,21764.6086956522,20235,2017,378141.19047619,14943
"6","Bahrain Grand Prix",2023,27104.3,24227,2012,23381.1971830986,21705
"7","Belgian Grand Prix",2023,23651.2432432432,22610,2011,22745.8461538462,13914
"8","Brazilian Grand Prix",2022,24677.8409090909,22869,2011,21675.8103448276,14029
"9","British Grand Prix",2023,29601.5833333333,28060,2011,25964.2222222222,23137
"10","Canadian Grand Prix",2023,26414.7878787879,23218,2011,25267.3333333333,14501
"11","Chinese Grand Prix",2019,25685.8918918919,17257,2011,22299.2413793103,13900
"12","Dutch Grand Prix",2022,19598,13973,2021,20395.9310344828,18555
"13","Eifel Grand Prix",2020,23468.7878787879,21991,2020,23468.7878787879,21991
"14","Emilia Romagna Grand Prix",2022,31665.76,29627,2020,30907.3,29427
"15","European Grand Prix",2016,21628.9090909091,19445,2011,21795.8153846154,20136
"16","French Grand Prix",2022,38322.64,35266,2018,26343.1,24289
"17","German Grand Prix",2019,22075.858974359,19062,2011,21635.46,19930
"18","Hungarian Grand Prix",2023,22575.1111111111,20880,2011,22060.6477272727,13173
"19","Indian Grand Prix",2013,24893.2954545455,18423,2011,23801.3404255319,14919
"20","Italian Grand Prix",2022,24711.5,23299,2011,51479.9142857143,21378
"21","Japanese Grand Prix",2022,186369.571428571,23756,2011,22118.2923076923,20575
"22","Korean Grand Prix",2013,25153.4693877551,17513,2011,21835.56,13984
"23","Malaysian Grand Prix",2017,24491.15,23489,2011,24434.3728813559,21893
"24","Mexican Grand Prix",2019,23591.1538461538,21862,2015,23578.3157894737,22156
"25","Mexico City Grand Prix",2022,23471.3913043478,22193,2021,24022.12,21908
"26","Miami Grand Prix",2023,23916.3,21884,2022,20113.2,18433
"27","Monaco Grand Prix",2023,27671.5945945946,23902,2011,27548.3488372093,19347
"28","Portuguese Grand Prix",2021,23768.1333333333,21275,2020,28589.96,25882
"29","Qatar Grand Prix",2021,26418.1666666667,25175,2021,26418.1666666667,25175
"30","Russian Grand Prix",2021,31400.0256410256,29242,2014,30727.4782608696,29736
"31","Sakhir Grand Prix",2020,26211.2307692308,23645,2020,26211.2307692308,23645
"32","Saudi Arabian Grand Prix",2023,22167.1666666667,20026,2021,786495.680851064,20405
"33","Singapore Grand Prix",2022,31797.5238095238,29407,2011,31333.2608695652,24299
"34","Spanish Grand Prix",2023,23128.4651162791,21537,2011,21567.5974025974,19534
"35","Styrian Grand Prix",2021,23762.5,20936,2020,22929.1904761905,20937
"36","Ṣo Paulo Grand Prix",2021,21177.4430379747,17673,2021,21177.4430379747,17673
"37","Turkish Grand Prix",2021,24739.25,22442,2011,23005.0609756098,13925
"38","Tuscan Grand Prix",2020,529469.5,17455,2020,529469.5,17455
"39","United States Grand Prix",2022,25915.5555555556,23241,2012,22526.4166666667,20814
