"","circuit_name","MR_year","MR_avg_race_time_milliseconds","MR_fastest_race_time_milliseconds","MR_slowest_race_time_milliseconds","oldest_year","oldest_avg_race_time_milliseconds","oldest_fastest_race_time_milliseconds","oldest_slowest_race_time_milliseconds"
"1","San Marino Grand Prix",2006,5504449.75,5466486,5548856,2004,5205898.85714286,5179670,5235400
"2","Indian Grand Prix",2013,5526919.16666667,5472187,5551138,2011,5474247.42857143,5435002,5519185
"3","Korean Grand Prix",2013,6229890,6193701,6266599,2010,10156564.0833333,10100810,10190749
"4","European Grand Prix",2016,5626919.18181818,5572366,5677183,2004,5598649,5555101,5631307
"5","Malaysian Grand Prix",2017,5435840.33333333,5401290,5479920,2004,5494424.28571429,5467490,5535367
"6","Chinese Grand Prix",2019,5554439.33333333,5526350,5615657,2004,5392547.88888889,5352420,5433039
"7","German Grand Prix",2019,6289502.92307692,6271275,6315124,2004,5074524.75,5034848,5108100
"8","Mexican Grand Prix",2019,5840233.5,5808904,5883828,2015,6182492.5,6155038,6204252
"9","70th Anniversary Grand Prix",2020,4829342.92307692,4781993,4856063,2020,4829342.92307692,4781993,4856063
"10","Eifel Grand Prix",2020,5780591.53333333,5749641,5805229,2020,5780591.53333333,5749641,5805229
"11","Sakhir Grand Prix",2020,5494317.70588235,5475114,5511972,2020,5494317.70588235,5475114,5511972
"12","Tuscan Grand Prix",2020,8395242.33333333,8375060,8417096,2020,8395242.33333333,8375060,8417096
"13","Portuguese Grand Prix",2021,5717412.54545455,5671421,5750376,2020,5428181,5396828,5462140
"14","Qatar Grand Prix",2021,5127769.375,5068471,5151597,2021,5127769.375,5068471,5151597
"15","Russian Grand Prix",2021,5514020.18181818,5441001,5547199,2014,5566234,5510744,5608039
"16","Styrian Grand Prix",2021,4971446,4938925,4986359,2020,5013272.75,4970683,5033274
"17","Ṣo Paulo Grand Prix",2021,5570409.16666667,5542851,5594671,2021,5570409.16666667,5542851,5594671
"18","Turkish Grand Prix",2021,5503295.22222222,5464103,5546121,2005,5117992,5074454,5154441
"19","Abu Dhabi Grand Prix",2022,5313785.45454545,5265914,5355285,2009,5684382.46666667,5643414,5737864
"20","Brazilian Grand Prix",2022,5932971.5,5914044,5951082,2004,5320383.77777778,5281451,5345293
"21","Dutch Grand Prix",2022,5825543,5802773,5840537,2021,5431192.33333333,5405395,5461855
"22","Emilia Romagna Grand Prix",2022,5572472.88888889,5527986,5603246,2020,5335027.33333333,5312430,5369714
"23","French Grand Prix",2022,5449019.73333333,5402112,5482506,2004,5451157.4,5418133,5476299
"24","Italian Grand Prix",2022,4833085.16666667,4827511,4836060,2004,4551856.72727273,4518448,4600979
"25","Japanese Grand Prix",2022,10965265.2222222,10904004,11012095,2004,5105201.55555556,5066985,5156641
"26","Mexico City Grand Prix",2022,5951664.16666667,5916729,5985503,2021,5954923.8,5919086,6000123
"27","Singapore Grand Prix",2022,7388158.58333333,7340238,7432848,2008,7054604.64285714,7036304,7079875
"28","United States Grand Prix",2022,6188512.05882353,6131687,6235275,2004,6049326.8,6029914,6067448
"29","Australian Grand Prix",2023,9162224.66666667,9158371,9164965,2004,5097062.83333333,5055757,5126355
"30","Austrian Grand Prix",2023,5171283.36363636,5133607,5213374,2014,5301611.81818182,5274976,5325942
"31","Azerbaijan Grand Prix",2023,5623812.9375,5562436,5663379,2017,7475083.5,7435573,7527733
"32","Bahrain Grand Prix",2023,5690106.18181818,5636736,5727606,2004,5346880.57142857,5314875,5373030
"33","Belgian Grand Prix",2023,5023292.77777778,4950450,5060900,2004,5567218.77777778,5555274,5577389
"34","British Grand Prix",2023,5135375.29411765,5116938,5150066,2004,5099471.16666667,5082700,5117003
"35","Canadian Grand Prix",2023,5683266.5,5638348,5711771,2004,5313308.66666667,5304803,5325212
"36","Hungarian Grand Prix",2023,5939296.66666667,5888634,5964343,2004,5762000.4,5726131,5793570
"37","Miami Grand Prix",2023,5313353.27777778,5258241,5347190,2022,5692716,5664258,5737563
"38","Monaco Grand Prix",2023,6575467.5,6531980,6595371,2004,6372022,6346601,6422367
"39","Saudi Arabian Grand Prix",2023,4926884.35294118,4874894,4961339,2021,7618462,7575118,7658367
"40","Spanish Grand Prix",2023,5330433.41666667,5277940,5353356,2004,5291666,5252841,5329949
